"","Provinsi","id","Tahun","Listrik","Rata2"
"1","Aceh",1,2011,1579.77,27.1
"2","Aceh",1,2012,1755.06,26.9
"3","Aceh",1,2013,1815.04,27
"4","Aceh",1,2014,1965.55,27.1
"5","Aceh",1,2015,2119,27.1
"6","Sumatera Utara",2,2011,7194.03,27.2
"7","Sumatera Utara",2,2012,7809.32,27.3
"8","Sumatera Utara",2,2013,7917.24,28.8
"9","Sumatera Utara",2,2014,8271.01,27.9
"10","Sumatera Utara",2,2015,8703.67,27.4
"11","Sumatera Barat",2,2011,2403.1,27.3833440513134
"12","Sumatera Barat",2,2012,2649.08,25.2
"13","Sumatera Barat",2,2013,2712.85,25.1
"14","Sumatera Barat",2,2014,3005.26,25.7
"15","Sumatera Barat",2,2015,3063.28,26.5
"16","Riau",3,2011,2361.15,27
"17","Riau",3,2012,2723.81,27.3
"18","Riau",3,2013,3597.44,26
"19","Riau",3,2014,3338.33,27.2
"20","Riau",3,2015,3586.45,27.2
"21","Jambi",4,2011,1054.17,26.9
"22","Jambi",4,2012,860.39,26.7
"23","Jambi",4,2013,955.66,26.8
"24","Jambi",4,2014,1037.45,27.2
"25","Jambi",4,2015,1083.79,27
"26","Sumatera Selatan",5,2011,2978.86,27.3
"27","Sumatera Selatan",5,2012,3863.12,27.4
"28","Sumatera Selatan",5,2013,4162.09,27.3
"29","Sumatera Selatan",5,2014,4477.49,24.2
"30","Sumatera Selatan",5,2015,4783.02,27.7
"31","Bengkulu",6,2011,493.95,27.4381509056734
"32","Bengkulu",6,2012,566.95,26.9
"33","Bengkulu",6,2013,641.52,26.7
"34","Bengkulu",6,2014,729.64,26.9
"35","Bengkulu",6,2015,785.43,27
"36","Lampung",7,2011,2425.94,26.8
"37","Lampung",7,2012,2793.36,26.8
"38","Lampung",7,2013,3182.21,26.7
"39","Lampung",7,2014,3392.44,25.8
"40","Lampung",7,2015,3571,27.1
"41","Kepulauan Bangka Belitung",8,2011,535.61,27.4
"42","Kepulauan Bangka Belitung",8,2012,664.72,27
"43","Kepulauan Bangka Belitung",8,2013,721.24,27
"44","Kepulauan Bangka Belitung",8,2014,805.43,27.2
"45","Kepulauan Bangka Belitung",8,2015,861.52,27.3
"46","Kepulauan Riau",9,2011,2010.3,26.8
"47","Kepulauan Riau",9,2012,2190.04,26.8
"48","Kepulauan Riau",9,2013,2421.92,26.8
"49","Kepulauan Riau",9,2014,2618.48,27.1
"50","Kepulauan Riau",9,2015,2694.79,27
"51","DKI Jakarta",10,2011,35061.38,28.5
"52","DKI Jakarta",10,2012,38168.75,28.1
"53","DKI Jakarta",10,2013,39937.28,28.2
"54","DKI Jakarta",10,2014,41269.03,28.4
"55","DKI Jakarta",10,2015,41328.6,28.4
"56","Jawa Barat",11,2011,34053.6,23.4
"57","Jawa Barat",11,2012,36655.28,23.4
"58","Jawa Barat",11,2013,39092.56,23.5
"59","Jawa Barat",11,2014,43096.46,23.4
"60","Jawa Barat",11,2015,44071.43,23.5
"61","Jawa Tengah",12,2011,15315.89,27.7
"62","Jawa Tengah",12,2012,16600.42,28
"63","Jawa Tengah",12,2013,18205.08,28
"64","Jawa Tengah",12,2014,19631.46,28
"65","Jawa Tengah",12,2015,20408.19,28.5
"66","DI Yogyakarta",13,2011,1869.77,26
"67","DI Yogyakarta",13,2012,2043.75,26.6
"68","DI Yogyakarta",13,2013,2205.79,26.2
"69","DI Yogyakarta",13,2014,2369.6,26.3
"70","DI Yogyakarta",13,2015,2484.16,26.1
"71","Jawa Timur",14,2011,24018.69,27.4515919759961
"72","Jawa Timur",14,2012,26910.18,28
"73","Jawa Timur",14,2013,28708.11,27.9
"74","Jawa Timur",14,2014,30523.98,28
"75","Jawa Timur",14,2015,30824.81,28
"76","Banten",15,2011,7955.54,27
"77","Banten",15,2012,8457.8,27.1
"78","Banten",15,2013,9750.37,27
"79","Banten",15,2014,8562.97,27.3
"80","Banten",15,2015,8575.1,27.3
"81","Bali",16,2011,3223.94,26.8
"82","Bali",16,2012,3546.6,26.9
"83","Bali",16,2013,3914.32,27.4
"84","Bali",16,2014,4335.03,27.4
"85","Bali",16,2015,4594.18,27.3
"86","Nusa Tenggara Barat",17,2011,837.17,27.1701655314918
"87","Nusa Tenggara Barat",17,2012,976.39,25.8
"88","Nusa Tenggara Barat",17,2013,1133.33,28.3
"89","Nusa Tenggara Barat",17,2014,1291.47,26.5678229939964
"90","Nusa Tenggara Barat",17,2015,1402.3,26.1
"91","Nusa Tenggara Timur",18,2011,486.91,27
"92","Nusa Tenggara Timur",18,2012,567.32,27.2
"93","Nusa Tenggara Timur",18,2013,639.57,27.5
"94","Nusa Tenggara Timur",18,2014,702.26,27.4
"95","Nusa Tenggara Timur",18,2015,749.76,27.5
"96","Kalimantan Barat",19,2011,1434.72,26.6
"97","Kalimantan Barat",19,2012,1603.72,27.1
"98","Kalimantan Barat",19,2013,1889.39,26.9
"99","Kalimantan Barat",19,2014,1862.44,26.8
"100","Kalimantan Barat",19,2015,1989.63,26.9
